,time (minutes),AOPC-global,optimization
1,0.7007205149178397,0.12224023738653178,desired-0.1
2,1.0510807723767597,0.12327517327623064,desired-0.1
3,1.4014410298356794,0.12157252817134534,desired-0.1
4,1.7518012872945992,0.12330144709189376,desired-0.1
5,2.1021615447535194,0.12375637837759938,desired-0.1
6,2.452521802212439,0.1257113155886748,desired-0.1
7,2.802882059671359,0.12635701600191432,desired-0.1
8,3.1532423171302786,0.12828159177722187,desired-0.1
9,3.5036025745891983,0.1291864747261444,desired-0.1
10,3.853962832048118,0.1291864747261444,desired-0.1
11,4.204323089507039,0.1291864747261444,desired-0.1
12,4.554683346965958,0.1311774678224419,desired-0.1
13,4.905043604424878,0.1311774678224419,desired-0.1
14,5.2554038618837975,0.1311774678224419,desired-0.1
15,5.605764119342718,0.1311774678224419,desired-0.1
16,5.956124376801637,0.1311774678224419,desired-0.1
17,6.306484634260557,0.13040462150311935,desired-0.1
18,6.6568448917194765,0.13319901393315522,desired-0.1
19,7.007205149178397,0.13319901393315522,desired-0.1
0,0.5936628065337153,0.10636076639673721,masking-0.1
1,1.1873256130674306,0.1055959737180156,masking-0.1
2,1.7809884196011458,0.10612077455064571,masking-0.1
3,2.374651226134861,0.1113586785178304,masking-0.1
4,2.9683140326685757,0.1345372528201267,masking-0.1
5,3.5619768392022917,0.13469345900169258,masking-0.1
6,4.155639645736007,0.13436401215003527,masking-0.1
7,4.749302452269722,0.13469345900169258,masking-0.1
8,5.342965258803437,0.1348273666023476,masking-0.1
9,5.9366280653371515,0.12778217963710842,masking-0.1
10,6.530290871870868,0.12778217963710842,masking-0.1
11,7.123953678404583,0.12798553844888805,masking-0.1
12,7.717616484938299,0.12350139941326495,masking-0.1
13,8.311279291472013,0.12350209892671464,masking-0.1
14,8.904942098005728,0.12485300470664557,masking-0.1
15,9.498604904539445,0.1201534132057706,masking-0.1
16,10.09226771107316,0.1201534132057706,masking-0.1
17,10.685930517606874,0.1201534132057706,masking-0.1
18,11.27959332414059,0.12485300470664557,masking-0.1
19,11.873256130674303,0.12485300470664557,masking-0.1
0,0.3459672400792144,0.10365485790046625,topk-masking-0.1
1,0.6919344801584288,0.10718507972858234,topk-masking-0.1
2,1.0379017202376433,0.13058672018910686,topk-masking-0.1
3,1.3838689603168577,0.13100062282410757,topk-masking-0.1
4,1.729836200396072,0.13100062282410757,topk-masking-0.1
5,2.0758034404752865,0.13100062282410757,topk-masking-0.1
6,2.4217706805545007,0.13100062282410757,topk-masking-0.1
7,2.7677379206337154,0.12441942603193679,topk-masking-0.1
8,3.1137051607129296,0.13100062282410757,topk-masking-0.1
9,3.459672400792144,0.12798553844888805,topk-masking-0.1
10,3.8056396408713584,0.12798553844888805,topk-masking-0.1
11,4.151606880950573,0.12449492936558727,topk-masking-0.1
12,4.497574121029788,0.12023500347982191,topk-masking-0.1
13,4.8435413611090015,0.12023500347982191,topk-masking-0.1
14,5.1895086011882166,0.12023500347982191,topk-masking-0.1
15,5.535475841267431,0.12023500347982191,topk-masking-0.1
16,5.881443081346645,0.12023500347982191,topk-masking-0.1
17,6.227410321425859,0.12463911415341503,topk-masking-0.1
18,6.573377561505074,0.11933971786560414,topk-masking-0.1
19,6.919344801584288,0.11933971786560414,topk-masking-0.1
0,0.133888631061964,0.13152178220616886,topk-masking-0.5
1,0.267777262123928,0.13269231345634425,topk-masking-0.5
2,0.401665893185892,0.12931132645761934,topk-masking-0.5
3,0.535554524247856,0.1273733997562287,topk-masking-0.5
4,0.6694431553098199,0.12399369951016126,topk-masking-0.5
5,0.803331786371784,0.11985645069833022,topk-masking-0.5
6,0.9372204174337481,0.11985645069833022,topk-masking-0.5
7,1.071109048495712,0.11928449073232521,topk-masking-0.5
8,1.204997679557676,0.11963726197518497,topk-masking-0.5
9,1.3388863106196398,0.11975994498541434,topk-masking-0.5
10,1.472774941681604,0.11548413949238095,topk-masking-0.5
11,1.606663572743568,0.11548413949238095,topk-masking-0.5
12,1.740552203805532,0.11548413949238095,topk-masking-0.5
13,1.8744408348674961,0.11548413949238095,topk-masking-0.5
14,2.00832946592946,0.11548413949238095,topk-masking-0.5
15,2.142218096991424,0.11564740772565155,topk-masking-0.5
16,2.2761067280533878,0.11564740772565155,topk-masking-0.5
17,2.409995359115352,0.11564740772565155,topk-masking-0.5
18,2.5438839901773163,0.11564740772565155,topk-masking-0.5
19,2.6777726212392796,0.11564740772565155,topk-masking-0.5
0,0.24646502261415715,0.11436855459965876,topk-desired-masking-0.1
1,0.4929300452283143,0.11092405961158211,topk-desired-masking-0.1
2,0.7393950678424714,0.11137149929865567,topk-desired-masking-0.1
3,0.9858600904566286,0.11412730236098022,topk-desired-masking-0.1
4,1.2323251130707857,0.11044321970552225,topk-desired-masking-0.1
5,1.4787901356849429,0.10873898641481917,topk-desired-masking-0.1
6,1.7252551582991,0.10871690748003635,topk-desired-masking-0.1
7,1.9717201809132572,0.10871690748003635,topk-desired-masking-0.1
8,2.2181852035274146,0.10920837169320458,topk-desired-masking-0.1
9,2.4646502261415715,0.10920837169320458,topk-desired-masking-0.1
10,2.7111152487557284,0.10920837169320458,topk-desired-masking-0.1
11,2.9575802713698858,0.10920837169320458,topk-desired-masking-0.1
12,3.204045293984043,0.10587303122415671,topk-desired-masking-0.1
13,3.4505103165982,0.10587303122415671,topk-desired-masking-0.1
14,3.6969753392123574,0.10765571544662215,topk-desired-masking-0.1
15,3.9434403618265144,0.10598732670127431,topk-desired-masking-0.1
16,4.189905384440672,0.10598732670127431,topk-desired-masking-0.1
17,4.436370407054829,0.10598732670127431,topk-desired-masking-0.1
18,4.6828354296689865,0.10598732670127431,topk-desired-masking-0.1
19,4.929300452283143,0.10598732670127431,topk-desired-masking-0.1
0,0.12931547331427168,0.11933374008277095,topk-desired-masking-0.5
